Title,Responsibility,Associated Places,Publication,Manufacture,Distribution,Date,Approximate Date,Copyright,Edition/Imprint,Pagination,Height,Width,Denomination,Notation,Language,Content,1850-1925,After 1925,Before 1850,Broadside,Confederate Imprint,Convention Gospel,Denominational Publication,Dispersed Harmony,Distributor in South,Ethnographic,Female Author/Publisher,Fraternal Society,Gospel,Liturgical/Devotional Content,Missionary Use,Native Use,Non-White,Occasional,Out-of-Country Publisher,Out-of-Region Publisher,Revival Use,Scientific Music,Singing School Use,Still in Use,Sheet Music,Spirituals,Sunday School Use,Tract Society Publication,Attestations,Source for Record,Emory Holdings,MTSU Holdings,SBTS Holdings,UK Holdings,Notes
Hymns of the Evangelical Lutheran church : for the use of English Lutheran missions,?,"St. Louis, MO",Concordia Pub. House,,,1897,,,,52,16,,Lutheran (Missouri Synod),Nil,German; English,Sacred,Y,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,Concordia University Chicago; Boston University,OCLC,,,,,
Hymns of the Evangelical Lutheran church : for the use of English Lutheran missions,?,"St. Louis, MO",Concordia,,,1907,,,,52,16,,Lutheran (Missouri Synod),Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
"Hymns selected for special use of Presbyterian Mission School, Columbus, Ga.",?,"Columbus, GA",?,,,19??,Y,,,24,13,,Presbyterian (PCUS?),Nil,English,Sacred,?,Y?,,,,,,,,,,,,,Y?,,,,,,,,,,,,Y,,SBTS,SBTS,,,Y,,Needs research regarding date
Hymns to the Holy Spirit,"Stratton, Joseph Buck","Richmond, VA",Presbyterian Committee of Publication,,,1893,,,,93,16,,Presbyterian (PCUS),Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
"Hymns written for the service of the Hebrew Congregation, Beth Elohim, Charleston, S.C.",?,"Charleston, SC",Kahal Kadosh Beth Elohim?,Printed by Levin & Tavel,,1842,,,,80,17,,Jewish (Western Sephardi/Reform),Nil,English,Sacred,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,HUC; IBV; NDD; SBM; PAU; PUL; MAJV2; RBN; NYP; YUS,OCLC,,,,,
Hymns written for the use of Hebrew congregations,?,"Charleston, SC",Kahal Kadosh Beth Elohim,,,1856,,,"2nd ed., revised and enlarged",212,16,,Jewish (Western Sephardi/Reform),Nil,English,Sacred,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,"University of South Carolina; College of Charleston; Hebrew Union College-JIR, Cincinnati; Towson University; University of Pennsylvania Libraries; Columbia University in the City of New York; National Library of Israel",OCLC,,,,,
Hymns-songs of the air no. 3,"Harden, H.","Durham, NC?",H. Harden?,Service Printing Co.,,19??,Y,,,80,22,,,Nil,English,Sacred,?,Y?,,,,Y?,,,,,,,,,,,Y,,,,,,,,,,,,Emory,Emory,Y,,,,
"Hymns, First Baptist Church Sunday school, 1859","Ellyson, Henry Keeling","Richmond, VA",H. K. Ellyson?,H. K. Ellyson's Steam Power Presses,,1859,,,,16,13,,Baptist,Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,SBTS,OCLC,,,Y,,
"Hymns, selected and original : for public and private worship",?,"Baltimore, MD",T. Newton Kurtz,,,1857,,,,676,14,,Lutheran (ESNA),Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,Emory copy bound with a book on church discipline
"Hymns, selected and original, for public and private worship : published for the general synod of the Evangelical Lutheran Church in the United States",?,"Baltimore, MD",T. Newton Kurtz,,,1861,,,5th revised ed.,"xii, 660, 23",19,,Lutheran (ESNA),Nil,English,Sacred,Y,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
"Hymns, selected and original, for Sunday-schools of the Evangelical Lutheran Church : revised and enlarged with an appendix and forms for opening and closing Sunday-schools with prayers, etc. also, a supplement containing hymns for the use of infant-schools",?,"Baltimore, MD",T. Newton Kurtz,,,1860,,,,467,11,,Lutheran (ESNA),Nil,English,Sacred,Y,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,Y,,SBTS,SBTS,,,Y,,
"Hymns, The : General Convention, 1907, Richmond, Virginia",?,"Richmond, VA",Episcopal Church,,,1907,,,,19,15,,Episcopalian,Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,,,Virginia Historical Society,OCLC,,,,,
Israelitisches Gebetbuch für den oeffentlichen Gottesdienst im ganzen Jahre,"Jastrow, M.; Hochheimer, H.","Baltimore, MD",Golderman,,,1871,,,2nd ed.,3 vols.,19,,Jewish,Nil,Hebrew; German,Sacred,Y,,,,,,Y,,,,,,,Y,,,Y,,,,,,,,,,,,University of Kentucky; Library of Congress,OCLC,,,,Y,
J. Rosamond Johnson and Taylor Gordon in a program of Negro spirituals,?,"New York, NY",Richard Copley?,,,1925-6,Y,,,4,16,,,Nil,English,Sacred,Y?,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,Emory,Emory,Y,,,,Brochure--probably no musical content
Jackson Standingdeer song book,"Standingdeer, Jackson?",,?,,,1898,Y,,,88,14,,,Nil,Cherokee,Sacred,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,University of Tulsa,OCLC,,,,,"University of Tulsa record notes copy as ""incomplete""; cataloged as print material despite sounding like a manuscript"
Jalagi dikanogisdi = Cherokee hymns,?,"Marble City, OK",Dwight Mission Press,,,1909,,,,80,13,,,Nil,Cherokee,Sacred,Y,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,AMH,OCLC,,,,,
Jesus dayoodláanii biyiin = Navajo Gospel hymns,?,"Farmington, NM",Wycliffe Bible Translators,,,19??,Y,,,"0144, 4, 2",16,,,Nil,Navajo,Sacred,?,Y?,,,,,,,,,,,,,Y,Y,Y,,,,,,,,,,,,Calvin University; Dallas International University; Black Hills State University; Arizona State University; Point Loma Nazarene University,OCLC,,,,,Probably too late
"Jesus dayotlanigi bi yin dine bi zadji : Hastin Halnii, Enesoti, Tohaci-di Dine bi keyahgi sitahigi ai ayila, 1908 = Songs of those who believe in Jesus, in the Navaho language","Brink, L. P.","Chicago, IL",Paul H. Wezeman,,,1908,,,,15,23,,,Nil,Navajo,Sacred,Y,,,,,,,,,,,,,,Y,Y,Y,,,Y,,,,,,,,,Oklahoma Historical Society,OCLC,,,,,
"Johann Arndt's Morgen- und Abend-Gebete, auf alle Tage der Woche : mit einer Zugabe von Morgen- und Abend-Andachten für Reisende und Leidende (v. B. Schmolke) : und einem Anhange von drei Kernliedern","Arndt, Johann","Cincinnati, OH",J. Eggers & Wilde,,,1850,,,,56,13,,Lutheran,Nil,German,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,German Society of Pennsylvania,OCLC,,,,,
Katholisches Gesang-Buch und Mess-Andachten,?,"Dayton, OH",St. Mary's Convent,,,1893,,,3rd ed.,166,16,,Catholic (Roman),Nil,Latin; German; English,Sacred,Y,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,University of Dayton,OCLC,,,,,
Keep my commandments and live : sacred song,"Powers, Henry, Jr.; Griffith, C. F.","Cincinnati, OH",Henry Powers,,,?,Y,,,4,21,,,Nil,English,Sacred,?,Y?,,,,,,,,,,,,,,,Y,,,,,,,,,,,,Emory,Emory,Y,,,,Research needed to determine likely date
Kirchen-Gesangbuch für Evangelisch-Lutherische Gemeinden ungeänderter Augusburgischer Confession : darin des seligen Dr. Martin Luthers und anderer geistreichen Lehrer gebräuchlichste Kirchen-Lieder enthalten sind,?,"St. Louis, MO",August Wiebusch und Sohn,,,1857,,,,432,15,,Lutheran (Missouri Synod),Nil,German,Sacred,Y,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
Kirchen-Gesangbuch für Evangelisch-Lutherische Gemeinden ungeänderter Augusburgischer Confession : darin des seligen Dr. Martin Luthers und anderer geistreichen Lehrer gebräuchlichste Kirchen-Lieder enthalten sind,?,"St. Louis, MO","Verlag der ev.-luth. Synode von Missouri, Ohio u.a. Staaten",,,1862,,,,432,16,,Lutheran (Missouri Synod),Nil,German,Sacred,Y,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
Kirchen-Gesangbuch für Evangelisch-Lutherische Gemeinden ungeänderter Augusburgischer Confession : darin des seligen Dr. Martin Luthers und anderer geistreichen Lehrer gebräuchlichste Kirchen-Lieder enthalten sind,?,"St. Louis, MO",Lutherischer Concordia-Verlag,,,1865,,,,404,13,,Lutheran (Missouri Synod),Nil,German,Sacred,Y,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,Emory; MTSU?,Emory,Y,Y,,,
Kirchen-Gesangbuch für Evangelisch-Lutherische Gemeinden ungeänderter Augusburgischer Confession : darin des seligen Dr. Martin Luthers und anderer geistreichen Lehrer gebräuchlichste Kirchen-Lieder enthalten sind,?,"St. Louis, MO",Lutherischer Concordia-Verlag,,,1885,,,22nd ed.,468,14,,Lutheran (Missouri Synod),Nil,German,Sacred,Y,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
Kirchen-Gesangbuch für Evangelisch-Lutherische Gemeinden ungeänderter Augusburgischer Confession : darin des seligen Dr. Martin Luthers und anderer geistreichen Lehrer gebräuchlichste Kirchen-Lieder enthalten sind,?,"St. Louis, MO",Lutherischer Concordia-Verlag,,,1886,,,23rd ed.,468,14,,Lutheran (Missouri Synod),Nil,German,Sacred,Y,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,Emory,Emory,Y,,,,Lots of typing errors in Emory record
Kirchen-Gesangbuch für Evangelisch-Lutherische Gemeinden ungeänderter Augusburgischer Confession : darin des seligen Dr. Martin Luthers und anderer geistreichen Lehrer gebräuchlichste Kirchen-Lieder enthalten sind,?,"St. Louis, MO",Concordia Publishing House,,,1901,,,,481,16,,Lutheran (Missouri Synod),Nil,German,Sacred,Y,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,Emory,Emory,Y,,,,Lots of typing errors in Emory record
Kirchengesangbuch zum gottesdienstlichen gebrauche : Deutscher Evangelisch-Protestantischer gemeinden von Nord-Amerika,?,"Cincinnati, OH?",Der Verein?,,,1901,Y,,,337,18,,Lutheran (ESNA),Nil,German,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Cincinnati History Library; University of Cincinnati; University of Chicago; United Lutheran Seminary,OCLC,,,,,
"Kleine Gebets-Schatz, Der : Auszug aus dem zu St. Louis, Mo., erschienenen grösseren ev.-luth. Gebets-Schatz, nebst neuen Anhängen",?,"St. Louis, MO",Concordia Pub. House,,,1906,,,,181,14,,Lutheran (Missouri Synod),Nil,German,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Lutheran Theological Seminary; Concordia Seminary; Allen County Public Library; Concordia Theological Seminary; Laurier Library; University of Rochester; Bethel College; Concordia University Nebraska; Martin Luther College,OCLC,,,,,
"Libro de oficios, que contiene la oración, matutina y vespertina, el orden para la celebración de la Cena del Señor communmente llamada Santa Communión, oraciónes para varias occasiónes, y seleciónes del salterio : conforme al uso de la Iglesia Protestante Episcopal, segun fué adoptado por la Convención General en Nuevo",?,"New Orleans, LA?",Octubre?,,,1925,,,,192,?,,Episcopalian,Nil,Spanish,Sacred,Y,,,,,,Y,,,,,,,Y,,,Y?,,,,,,,,,,,,Graduate Theological Union,OCLC,,,,,Cataloged very hinkily--not certain I trust the publication info
"Liedersammlung : neue Auswahl festlicher Gesänge auf die vornehmsten Feiertage des Herrn und der seligsten Jungfrau, nebst einem Anhange von Schulliedern",?,"New York, NY; Cincinnati, OH; Einsiedeln, Switzerland",Gebr. Benziger,,,1864,,,4th American ed.,128,13,,Catholic (Roman)?,Nil,German,Mixed?,Y,,,,,,,,Y,,,,,,,,,,Y,Y,,,,,,,,,Brown University,OCLC,,,,,
"Little Sunday school hymn book, The",?,"Greenville, SC","Sunday School Board, Southern Baptist Convention",,,1863,,,,16,11,,Baptist (SBC),Nil,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,SBTS,SBTS,,,Y,,
"Liturgie und Gesangbuch für die neue Kirche, bezeichnet als das Neue Jerusalem in der Offenbarung Johannis",?,"Baltimore, MD",Müller & Hess,,,1855,,,,203,19,,Swedenborgian?,Nil,German,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,New York Public Library; Brown University; Harvard College; Graduate Theological Union,OCLC,,,,,
"Lyric, domestic and sacred poems","Williams, John P.","Nashville, TN",National Baptist Pub. Board,,,1916,,,,261,21,,Baptist (NBC),Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,Emory,Emory,Y,,,,"Not clear if these are hymns, poems, or both"
"Malhotis uba isht taloa holisso hoke, or = Methodist hymn book : translated for the use of Methodist missions in the Choctaw Nation","Page, John","Louisville, KY","Methodist Episcopal Church, South","Morton & Griswold, Printers",,1848,,,,38,14,,"Methodist (MEC,S)",Nil,Choctaw,Sacred,,,Y,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,Yale University,OCLC,,,,,
"Manual for worship adopted for use at the Reform School of the District of Columbia by a vote of the Board of Trustees, May 14, 1900, A",?,"Washington, DC",McGill & Wallace,,,1900,,,,249,?,,,Nil,English,Sacred,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y?,,Emory,Emory,Y,,,,
"Maskoke hymns : original, collected and revised","Buckner, H. F.; Herrod, Goliah","Marion, AL",Domestic and Indian Mission Board of the Southern Baptist Convention,,,1860,,,,140,13,,Baptist (SBC),Nil,Creek,Sacred,Y,,,,,,Y,,,,,,,,,Y,Y,,,,,,,,,,,,SBTS; Boston Athenaeum; University of Tennessee at Chattanooga; University of South Florida; Library of Congress; University of Tulsa; Texas Woman's University; University of Oklahoma; New York Public Library System; Yale University Library; Trinity College Library; Jenks Library at Gordon College,SBTS,,,Y,,
"Methodist hymnal, The : official hymnal of the Methodist Episcopal Church, South, and the Methodist Episcopal Church",?,"Nashville, TN","Pub. House, Methodist Episcopal Church, South",,,1909,,,,620,22,,Methodist,Nil,English,Sacred,Y,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,MTSU; Emory,MTSU (OPAC),Y,Y,,,
"Methodist hymnal, The : official hymnal of the Methodist Episcopal Church, South, and the Methodist Episcopal Church",?,"Nashville, TN; Dallas, TX; Richmond, VA",Publishing House Methodist Episcopal Church South,,,1912,,,,622,22,,Methodist,Nil,English,Sacred,Y,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
"Methodist hymnal, The : official hymnal of the Methodist Episcopal Church, South, and the Methodist Episcopal Church",?,"Nashville, TN","Pub. House of the Methodist Episcopal Church, South",,,1919,,,,632,22,,Methodist,Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
Mission hymns,?,"St. Louis, MO",Concordia Pub. House,,,1917,Y,,,12,18,,Lutheran (Missouri Synod),Nil,English,Sacred,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Emory,Emory,Y,,,,
Missionary hymns from The hymnal : for the use of the general convention,?,"Cincinnati, OH",?,,,1910,,,,26,20,,,Nil,English,Sacred,Y,,,,,,Y,,,,,,,,Y,,,Y,,,,,,,,,,,Emory,Emory,Y,,,,"Clearly denominational, but uncertain which denomination"
Missionsfestlieder,"Bouman, P. H.","St. Louis, MO",Concordia,,,1908,,,,30,19,,Lutheran (Missouri Synod),Nil,German,Sacred,Y,,,,,,,,,,,,,,,,,Y?,,,,,,,,,,,Concordia University Chicago,OCLC,,,,,
Muskogee hymns : original,"Land, J. H.","Sapulpa, IT/OK",Light Press,,,1905,,,,135,12,,Baptist,Nil,Creek,Sacred,Y,,,,,,,,,,,,,,Y,Y,Y,,,,,,,,,,,,University of Oklahoma,OCLC,,,,,
"Muskoke hymns, The","Harrison, P.; Aspberry, D. P.","Park Hill, OK/IT",Mission Press,Printed by  J. Candy & E. Archer,,1847,,,,101,13,,,Nil,Creek,Sacred,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,BAT,OCLC,,,,,
Muskokvlke enakcokv esyvhiketv = The Muscogee hymn book,"Asbury, Daniel B.","Park Hill, IT/OK",Baptist Mission Press,,,1855,,,,82,13,,Baptist,Nil,Creek,Sacred,Y,,,,,,,,,,,,,,Y,Y,Y,,,,,,,,,,,,Library of Congress; University of Tulsa,OCLC,,,,,
"Mvskoke nettvcako cokv-heckv cokv esyvhiketv : yvhiketv ""punvkv-herv esyvhiketv"" momet cokv eti aenkvpvket = The Muskokee s.s. song book : from gospel songs and other collections","Robertson, A. E. W.","Philadelphia, PA",Presbyterian Board of Publication and Sabbath School Work,,,1917,,,,96,15,,Presbyterian (UCPNA),Nil,Creek,Sacred,Y,,,,,,,,,,,,,,Y,Y,Y,,,Y,,,,,,,,,Wabash College; University of Tulsa; Southwestern Baptist Theological Seminary; Oklahoma Historical Society,OCLC,,,,,
Nakcokv esyvhiketv = Muskokee hymns,"Loughridge, R. M.","Park Hill, OK",Mission Press,"John Candy, printer",,1845,,,,45,13,,Presbyterian?,Nil,Creek,Sacred,,,Y,,,,,,,,,,,,Y,Y,Y,,,,,,,Y,,,,,Boston Athenaeum,OCLC,,,,,
Nakcokv esyvhiketv = Muskokee hymns,"Loughridge, R. M.; Winslett, David","Park Hill, OK",Mission Press,"Edwin Archer, printer",,1851,,,,144,14,,Presbyterian?,Nil,Creek,Sacred,Y,,,,,,,,,,,,,,Y,Y,Y,,,,,,,Y,,,,,Emory University; Oberlin College; Library of Congress; Johns Hopkins University; Newberry Library; New York Public Library System; Princeton Theological Seminary; New-York Historical Society; Yale University Library; Trinity College,OCLC,Y,,,,
Nakcokv esyvhiketv = Muskokee hymns,"Loughridge, R. M.; Winslett, David","New York, NY",Mission House,,,1859,,,"3rd ed., revised and enlarged",216,14,,Presbyterian?,Nil,Creek,Sacred,Y,,,,,,,,,,,,,,Y,Y,Y,,,Y,,,,Y,,,,,Mount Holyoke College; Drew University; Columbia University; Yale University; Brown University,OCLC,,,,,
Nakcokv esyvhiketv = Muskokee hymns,"Loughridge, R. M.; Winslett, David","New York, NY",Mission House,,,1873,,,,220,14,,Presbyterian?,Nil,Creek,Sacred,Y,,,,,,,,,,,,,,Y,Y,Y,,,Y,,,,Y,,,,,Yale University,OCLC,,,,,
Nakcokv esyvhiketv = Muskokee hymns,"Loughridge, R. M.; Winslett, David","New York, NY",Mission House,,,1880,,,"4th ed., revised and enlarged",219,14,,Presbyterian?,Nil,Creek,Sacred,Y,,,,,,,,,,,,,,Y,Y,Y,,,Y,,,,Y,,,,,SBTS; Newberry Library; University of Tulsa; Austin College; Harvard University,OCLC,,,Y,,
Nakcokv esyvhiketv = Muskokee hymns,"Loughridge, R. M.; Winslett, David; Robertson, W. S.","New York, NY",Mission House,,,1884,,,"4th ed., revised and enlarged",219,14,,Presbyterian?,Nil,Creek,Sacred,Y,,,,,,,,,,,,,,Y,Y,Y,,,Y,,,,Y,,,,,"Smithsonian Institution; Library of Congress; University of Tulsa; Trinity College; UC Berkeley; University of California, NRLF",OCLC,,,,,
Nakcokv esyvhiketv = Muskokee hymns,"Loughridge, R. M.; Winslett, David; Robertson, W. S.","Philadelphia, PA",Presbyterian Board of Publication and Sabbath-School Work,,,1889,,,5th ed.,221,21,,Presbyterian (UCPNA),Nil,Creek,Sacred,Y,,,,,,,,,,,,,,Y,Y,Y,,,Y,,,,Y,,,,,Smithsonian Institution; Newberry Library; University of Tulsa; New York Public Library System; Oklahoma Historical Society,OCLC,,,,,
Nakcokv esyvhiketv = Muskokee hymns,"Loughridge, R. M.; Winslett, David",Philadelphia,Presbyterian Board of Publication and Sabbath-School Work,,,1907,,,5th ed.,221,13,,Presbyterian (UCPNA),Nil,Creek,Sacred,Y,,,,,,,,,,,,,,Y,Y,Y,,,Y,,,,Y,,,,,University of Tulsa; University of Oklahoma; Oklahoma Historical Society; Oklahoma Department of Libraries; Harvard University; Princeton Theological Seminary,OCLC,,,,,
Nakcokv esyvhiketv = Muskokee hymns,"Loughridge, R. M.; Winslett, David",Philadelphia,Presbyterian Board of Publication and Sabbath-School Work,,,1908,,,5th ed.,221,13,,Presbyterian (UCPNA),Nil,Creek,Sacred,Y,,,,,,,,,,,,,,Y,Y,Y,,,Y,,,,Y,,,,,University of Tulsa,OCLC,,,,,
Nakcokv esyvhiketv = Muskokee hymns,"Loughridge, R. M.; Winslett, David","Philadelphia, PA",Presbyterian Board of Publication and Sabbath School Work,,,1915,,,"5th ed., revised",221,12,,Presbyterian (UCPNA),Nil,Creek,Sacred,Y,,,,,,,,,,,,,,Y,Y,Y,,,Y,,,,Y,,,,,Wabash College,OCLC,,,,,
"National Baptist hymn book, The : a collection of old meter songs","Boyd, Robert","Nashville, TN",National Baptist Publishing Board,,,1905,,,4th ed.; word ed.; pocket ed.,542,15,,Baptist (NBC),Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,Laurier Library; East Tennessee State University; Wake Forest University; Carnegie Library of Pittsburgh; Eastern Michigan University; Chicago Public Library; University of Alabama; Arkansas State Archives; Columbia University in the City of New York; Yale University Library; Baylor University Libraries,OCLC,,,,,
Navajo gospel hymns : sing unto the Lord,?,?,?,,,1916,Y,,,101,15,,,Nil,Navajo,Sacred,Y,,,,,,,,,,,,,,Y,Y,Y,,,Y?,,,,,,,,,Northern Arizona University,OCLC,,,,,
Nazarene songs of the Nazarene Revival Mission,"Delk, James L.","Topeka, KS",James L. Delk and the General Assembly,,,1913,,,,60,21,,Church of God in Christ,Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,Y,Y,,Y,,,,,,,,,Biola University Library,OCLC,,,,,General Assembly held in Topeka in June 1913
Nearer my God to Thee : translated into Choctaw,"Adams, Sarah Flower; Pitchlynn, Peter Perkins","Atoka, OK",?,,,1877,,,,1,25,16,,Nil,Choctaw,Sacred,Y,,,Y,,,,,,,Y,,,,,Y,Y,,,,,,,,,,,,Boston Athenaeum,OCLC,,,,,
"Negro jubilee shouter songster, The : containing a stupendous collection of colored jubilee and camp-meeting songs and hymns, compiled with greatest care, and sung with the greatest success by all the colored slave troupes now traveling all over the U.S.",?,"New York, NY",New York Popular Pub. Co.,,,18??,Y,,,64,17,,,Nil,English,Sacred,Y,,,,,,,,,,,,,,,,Y,,,Y,,,,,,Y,,,Virginia Historical Society; Brown University,OCLC,,,,,"Favorite Dime Song Book series, so basically distributed as popular (non-religious) music; Brown has another ed. tentatively dated 1880s with only 60 pp."
Negro melodies of the Old South,"Strickland, Lily","New York, NY",M. Witmark & Sons,,,1925,,,,9,28,,,Nil,English,Mixed,Y,,,,,,,,,,Y,,,,,,Y,,,Y,,Y?,,,,Y,,,Virginia Union University,OCLC,,,,,"In ""Standard quartettes"" series, so may not be all that artistic"
"Negroes looking up! : saw the past, sees the present and looks for the future in well selected moving race pictures","Hynes, W. G.","Nashville, TN",?,Clarion Printing Co.,,1905,Y,,2nd ed.,18,21,,,Nil,English,Sacred,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,Dallas Theological Seminary; Southwestern Assemblies of God University; Tougaloo College; Emory; Digital Theological Library; Claremont School of Theology; Mission Seminary,OCLC,Y,,,,Has section of hymns at back; purportedly a copy in Woodruff
Neue liedersammlung für die christliche jugend und zum besondern Gebrauch in Sonntagschulen,?,"Cincinnati, OH",Poe und Hitchcock,,,1866,,,,191,?,,,Nil,German,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,"Indiana University; Ohio Wesleyan University; Bradley University; University of Minnesota, Minneapolis",OCLC,,,,,
Neuer Liederschatz für die Jugend : und zum Gebrauch in Sonntages-Schulen,?,"Cincinnati, OH",Westl. Buchverlag der bisch. Methodistenkirche,,,1851,,,,160,12,,Methodist (MEC),Nil,German,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,German Society of Pennsylvania,OCLC,,,,,
Neuer Liederschatz für die Jugend : und zum Gebrauch in Sonntages-Schulen,?,"Cincinnati, OH",Westl. Buchverlag der bisch. Methodistenkirche,,,1853,,,,160,13,,Methodist (MEC),Nil,German,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,The Styberg Library; German Society of Pennsylvania; New York PUblic Library System,OCLC,,,,,
Neuer Liederschatz für die Jugend : und zum Gebrauch in Sonntages-Schulen,?,"Cincinnati, OH",Westl. Buchverlag der bisch. Methodistenkirche,,,1855,,,,160,13,,Methodist (MEC),Nil,German,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,Yale University; Boston University,OCLC,,,,,
Neuer Liederschatz für die Jugend : und zum Gebrauch in Sonntags-Schulen,?,"Cincinnati, OH",Westl. Buchverlag der bisch. Methodistenkirche,,,1861,Y,,,160,17,,Methodist (MEC),Nil,German,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,"University of Minnesota, Minneapolis; Brown University",OCLC,,,,,
Neuer Liederschatz für die Jugend und zum Gebrauch in Sonntags-Schulen,?,"Cincinnati, OH",Westl. Buchverlag der bisch. Methodistenkirche,,,1857,,,,160,13,,Methodist (MEC),Nil,German,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,Duke University; Lancaster Theological Seminary; Brown University,OCLC,,,,,
Neuer Liederschatz für die Jugend und zum Gebrauch in Sonntags-Schulen,?,"Cincinnati, OH",Im westl. Buchverlag der bisch. Methodistenkirche,,,1860,,,,136,13,,Methodist (MEC),Nil,German,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,Ohio Wesleyan University,OCLC,,,,,
"Neues gemeinschaftliches Gesangbuch zum gottesdienstlichen Gebrauch der Luterischen und Reformirten Gemeinden in Nord-Amerika : eine Sammlung von 652 Liedern mit dem dazu gehörigen Anhang, enthaltend die Urmelodien zu allen Gesängen mit genauen Registern für Kirche, Schule und Haus",?,"Cincinnati, OH",Jennings and Graham,,,1866,Y,,,"344,72, 42",?,,Interdenominational (Lutheran/Reformed),Nil,German,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,German Society of Pennsylvania; Cincinnati Christian University; Lancaster Theological Seminary; Boston University,OCLC,,,,,"Title suggests it includes notated music in an appendix, but it is cataloged without mention of such"
New celebration hymns for fellowship and Damascus,?,"Greenville, SC",?,G. E. Elford's press,,1865,Y,,,16,11,,Baptist?,Nil,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y?,,SBTS,SBTS,,,Y,,
"New gospel music : especially prepared and inscribed to the Grand Y.M.C.A. International encampment for the United States and British Provinces, to be held at the Thousand Island Park, Aug. 8th to 11th, 1878","Doane, W. Howard","Thousand Island Park, NY; Cincinnati, OH",G; SS; Rev; Mis; T; Frat; Sec; OOR,,,1878,,,,12,21,,,Nil,English,Sacred,Y,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,Y,SBTS,SBTS,,,Y,,
"New hymn book, The : a collection of hymns for public, social and domestic worship",?,"Nashville, TN",Southern Methodist Pub. House,,,1885,,,,256,13,,"Methodist (MEC,S)",Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
"New hymn-book, The : a collection of hymns for public, social and domestic worship",?,"Nashville, TN",Southern Methodist Pub. House,,,1880,,,,256,14,,"Methodist (MEC,S)",Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,Emory has two non-identical copies
